name,email,district,county,longitude,latitude,location,address,wasteType,facilityType
CHANDARIA INDUSTRIES LTD-INDUSTRIAL AREA DIVISION,Festus@chandaria.com,NAIROBI,Nairobi,36.86026,-1.36918,"L.R NO 209/8801 INDUSTRIAL AREA ,SEREM ROAD",P.O BOX 30621-00100 NAIROBI,Paper,Recycling
CHANDARIA INDUSTRIES LTD,Festus@chandaria.com,NAIROBI,Nairobi,36.806992,-1.283120,"L.R NO.336/24 RUARAKA, BABA DOGO",P.O BOX 30621-00100 NAIROBI,Paper & Cotton Waste,Recycling
COUNTY GOVERNMENT OF NYANDURUA ( Department Of Health Services),OLUKOHE2000@YAHOO.COM,OLKALOU SUB COUNTY,Nyandarua,36.243777,-0.177441,"GWAKIONGO CENTRE, MILANGINE WARD, OLKALOU",P.O BOX 701 - 20303 OLKALOU,Biomedical Waste,Incinerator
TERRASOL KENYA LIMITED,mary@terrasolkenya.com,KIAMBU,Kiambu,36.6431E,2500,REDHILL,P.O BOX 63276-00619,Agricultural Waste/Industrial Waste/Used Oil/Scrap Tyres/Condemned Goods,Recycling
WILLIAM MWANGI,william@ifix.co.ke,GITHUNGURI,Kiambu,36.979841,-1.175515,KIAMBU,P.O. BOX 648-00516,E-Waste/Exhaust Catalytic Converter,Recycling
HIGHLAND STEEL AND TIMBER LIMITED,johnmanyange981@gmail.com,MATHARE,Nairobi,36.9793392,-1.2680817,situated along Eastern Bypass Utawala Nairobi next to Utawala Junction on plot 1025 Utawala Nairobi county,"P.O. BOX 24968-00100
NAIROBI",Scrap Metal,Transfer Station/Storage Yard
KAMONGO WASTE PAPER KENYA LTD,courier@kamongo.co.ke,NAIROBI,Nairobi,39.745274,1.307982,KAMPALA ROAD,67313 00200 NAIROBI,Paper,Recycling
C&P SHOE INDUSTRIES LIMITED,info@happyforestltd.com,NAIROBI,Nairobi,36.873570,-1.329730,LR NO. 209/9720 NAIROBI INDUSTRIAL AREA ALONG MOMBASA ROAD,P.O BOX 46979-00100 NAIROBI,Plastic Waste,Recycling
C&P SHOE INDUSTRIES LIMITED,info@happyforestltd.com,NAIROBI,Nairobi,36.873570,-1.329730,LR NO. 209/9720 NAIROBI INDUSTRIAL AREA ALONG MOMBASA ROAD,P.O BOX 46979-00100 NAIROBI,Recyclable Waste,Recycling
DUNCAN MAINA NDEGWA,gefmsco@gmail.com,KIRINYAGA,Kirinyaga,37.3827 E,0.6591 S,KIRINYAGA,28283-00100 NAIROBI,Sanitary Waste & Non-Hazardous Waste,Compost
SUNPRIDE ENTERPRISES LIMITED,info@stalinenvironment.com,MAVOKO,Machakos,"36°58'11.2""E","1°25'35.8""S",TRAILINK BUSINESS PARK 209/12867/5,"P.O. BOX 13916-00200, NAIROBI",Polythene,Recycling
JACKSON KARANJA NJANGIRU T/A TARZON ENTERPRISES,jose.mwendo@yahoo.com,Kwale,Kwale,39.344833,-4.612167,PLOT NO. KWALE/SHIMONI ADJ./552 SITUATED AT FIKIRINI,"P.O. BOX 92758 – 80100, MOMBASA",Asbestos,Land fill
YOUNSHEN DEVELOPERS COMPANY LIMITED,younshendevelopers@gmail.com,MAVOKO,Machakos,36.9380E,1.3592S,"SYOKIMAU,VARIAKA WAREHOUSES","P.O. BOX 58274-00200,NAIROBI.",Polythene,Recycling
Aga Khan University Hospital,joan.wambui@aku.edu,L.R.NO.209/5894 3RD PARKLANDS AVENUE NAIROBI,Nairobi,36.824787900000050000,-1.262392200000000000,L.R.NO.209/5894 3RD PARKLANDS AVENUE NAIROBI,P.O. BOX 30270-00100,Biomedical Waste,Incinerator
Jinxin Commercial limited,luominghui856@gmail.com,mavoko,Machakos,37 degree 00’10.6’E,1 degree 27’15.1’S,athiriver near athiriver business park,p.o box 355-01100 machakos county,Scrap Metal,Transfer Station/Storage Yard
KILIMANI BAKERIES LIMITED,kilimanibistrol@gmail.com,NAIROBI,Nairobi,NAIROBI,NAIROBI,"KILIMANI, OFF ELGEYO MARAKWET ROAD, HOUSE OF LEATHER BUILDING",51888 00200 NAIROBI,Polythene,Recycling
SINOMET KENYA LIMITED,peterogaso@gmail.com,NAIROBI EAST - STAREHE,Nairobi,36.83344,"-1,27473",ESARI HOUSE - PARK ROAD,P O BOX 31652-00800,E-Waste/Exhaust Catalytic Converter,Transfer station
KASPULKHAN ENTERPRISES LIMITED,berlconsult2013@gmail.com,EMBAKASI,Nairobi,36.974561,-1.288674,"Plot LR. No: V1001, UTAWALA, EMBAKASI","P.O. BOX 9824-00200
NAIROBI",Scrap metal/Paper/Polythene,Transfer Station/Storage Yard
ANTO SCRAP METAL,johnkupss@gmail.com,MAZERAS,Kilifi,39°42.6,4°38.5,"PLOT NO 11 XII, MOMBASA ROAD, KILIFI KALOLENI DISTRICT, MAZERAS",P.O. BOX 84892 --80100 MOMBASA,Scrap Metal,Transfer station
AFRICAN RETAIL TRADERS (2000)LIMITED,orinamireri2016@gmail.com,EMBAKASI,Nairobi,"E36,50""32.118""","S1,26""54.8628""",PLOT LR NO 209/9600/05 ALONG KANGUNDO ROAD NAIROBI COUNTY,PO BOX 32142-00600 NAIROBI,Scrap Metal,Transfer Station/Storage Yard
CENTURY STEEL FURNITURE LTD,centurysteelf@gmail.com,MOMBASA,Mombasa,39.6014E,3.9958 S,MSA/NBI - KWA JOMVU - MIRITINI,"P.O. BOX 82021-80100
MOMBASA",Used Oil/Sludge,Incinerator
WILDFIRE LIMITED,office@wildfire-flowers.com,NAIVASHA,Nakuru,36° 26’ 13.72”E,0° 46’ 24.84”S,NAIVASHA,"P.O.BOX 379-20117
NAIVASHA, KENYA",Organic Waste,Compost
ANGEM INVESTMENTS,berlconsult2013@gmail.com,MAKADARA,Nairobi,"36°51'16.5""E","1°17'55.1""S","Plot LR. No: 209/6829, along Likoni Road","P.O. BOX 17149-00500
NAIROBI",Scrap Metal,Transfer Station/Storage Yard
ZIPOMMY SCRAP METAL DEALERS,berlconsult2013@gmail.com,MAKADARA,Nairobi,E 36°51’32.778”,S 1°19’0.192”,"Plot L.R.No.12596/30, ROAD A, INDUSTRIAL AREA.","P.O. BOX 18131-00500
NAIROBI",Scrap Metal,Transfer Station/Storage Yard
TECHINTELLILIGHT LIMITED,techintellilight854@gmail.com,JUJA,Kiambu,E037000.37S,S01o 07.264,JUJA,P.O. BOX 75879-00200 NAIROBI,Scrap metal/Paper/Polythene,Transfer station
SUPA TIRES VENTURES LIMITED,benjastash@gmail.com,Kajiado North,Kajiado,36° 55' 42.24'' E,1° 32' 59.4'' S,"Kasiti, Kitengela Kajiado",P. O. Box 51888 - 00100 Nairobi,Scrap Tyres/Plastic Waste,Recycling
Kapa Oil Refineries Ltd,quality@kapa-oil.com,Machakos,Machakos,36.9112° E,1.3659° S,Mlolongo,P.O. Box 18492 00500 Nairobi,Used Cooking Oil,Transfer station
THE METAL MERCHANTS LIMITED,johnmanyange981@gmail.com,MOMBASA TOWN,Mombasa,39.6630567,-4.0492665,LR NO XII/27/MT KENYATTA AVENUE MOMBASA COUNTY,"P.O BOX 36846-0100
NAIROBI",Scrap Metal,Transfer Station/Storage Yard
TAI LIFESTYLE LIMITED,info@envasses.org,Mombasa,Mombasa,39°37’12”E,4°00’20”S,"Plot L.R No. 319/V/MN in MIKINDANI,MOMBASA",P.O BOX 89990-80100 MOMBASA,Used Oil,Transfer Station/Storage Yard
BAUS TAKA ENTERPRISE LIMITED,freddrickotieno01@gmail.com,OLD TOWN MOMBASA COUNTY,Mombasa,"39°40'40.8""E","4°03'36.0""S",PLOT L.R. NO. XXXIII/70/OLD TOWN,P.O. BOX 3012-80100 MOMBASA,Plastic Waste,Transfer station
KINGS METAL LTD,dses2011@gmail.com,ADDIS ABABA ROAD INDUSTRIAL AREA,Nairobi,"LONGITUDE: 36°50'17.93""E","1°18'0.13""S","ON PLOT L.R NO. 209/5443; ALONG ADDIS ABABA ROAD, INDUSTRIAL AREA; NAIROBI CITY COUNTY",P. O BOX 64390 - 00620 NAIROBI,Scrap Metal,Transfer Station/Storage Yard
ruth wairimu kimani,cybercybercafe@gmail.xom,starehe/cbd,Nairobi,eastern,south,nairobi,72-00600,Sanitary Waste & Non-Hazardous Waste,Dumpsite for General Waste
LGD PLASTIC LIMITED,info@stalinenvironment.com,KAJIADO,Kajiado,36.92845,-1.549838,KAJIADO COUNTY,"P. O. Box 52285 - 00200, NAIROBI",Polythene,Recycling
WORLD BOOTS LIMITED,henryoindo2208@gmail.com,NAIROBI,All,36.85808333,-1.31919444,"NAIROBI, INDUSTRIAL AREA",P.O BOX 1107-00200 NAIROBI,Plastic Waste,Recycling
TRANBIZ ENTERPRISES LTD,eshubconsult@gmail.com,JUJA,Kiambu,36.8716201,-1.116760,"JUJA/JUJA EAST BLOCK 1/2748 IN NYACABA, JUJA SUB-COUNTY KIAMBU COUNTY",P.O.BOX 16898-00100NAIROBI,Harzadous/Industrial/Biomedical Waste,Incinerator
STAR PLASTICS LIMITED,info@starplasticsltd.com,Juja,Kiambu,36.99428,-1.08395,L.R. NO 100090/14/157 JUJA TOWN,18966-00500 NAIROBI,Plastic Waste,Recycling
STYROPLAST LTD,accounts@styroplast.group,industrial area,Nairobi,36.8627,1.3061,"GATE NO 2 MIGWANI ROAD, OFF ENTERPRISE ROAD","P.O BOX 32654- 00600
GATE NO 2 , MIGWANI ROAD, OFF ENTERPRISE ROAD
NAIROBI - KENYA",Polythene,Recycling
SHALOM SCRAP METALS MTWAPA,christopherewoi@gmail.com,KILIFI DISTRICT MAJENGO AREA,Kilifi,39.7641,-3.91058,MAJENGO YARD,BOX 80101-10187,Scrap Metal/Plastic Waste,Transfer Station/Storage Yard
ECO ROSES LIMITED,admin.eco@btfgroup.com,NAKURU,Nakuru,35.8511197,-0.2200085,"SALGAA, NAKURU","P.O. BOX 1970 CODE 00606 NAIROBI
PHYSICAL ADDRESS: SALGAA, NAKURU",Organic Waste,Compost
CLOSE THE GAP LIMITED,benardorik@gmail.com,MOMBASA,Mombasa,39.5940305,-4.0063939,MN/579/JOMVU MOMBASA,P.O.BOX 34062-80100 MOMBASA,Electrical / Electronic Equipment,Transfer station
ZOA TAKA LIMITED,berlconsult2013@gmail.com,EMBAKASI,Nairobi,36.8167° E,1.2833° S,L.R NO. 209/1302/1 ( I.R 50813) EMBAKASI NAIROBI,"P.O BOX 75270-00200,
NAIROBI",Scrap metal/Paper/Polythene,Transfer Station/Storage Yard
EURO PLASTICS LIMITED,wwn.kori@gmail.com,Industrial area,Nairobi,36.8441° E.,1.3143° S,OFF LIKONI ROAD,"P.O. Box 17654-00500
NAIROBI, KENYA",Plastic Waste,Recycling
BURUK GENERAL TRADING CO. LIMITED,info@stalinenvironment.com,NAIROBI,Nairobi,36.880737,-1.341390,"ATLANTIS BUSINESS PARK, OLD MOMBASA ROAD","P.O. BOX 23082-00100, NAIROBI",Plastic Waste,Recycling
GRAIN DROP PRODUCTS LTD,eshubconsult@gmail.com,"NANYUKI ROAD, INDUSTRIAL AREA, NAIROBI",Nairobi,36.8716201,-1.306369,"GODOWN 36, NANYUKI ROAD, INDUSTRIAL AREA, NAIROBI ON LR NUMBER 209/3915",P.O. BOX 12296-00400 NAIROBI,Used Cooking Oil,Recycling
LECHY AGENCIES,nyagaruth85@gmail.com,N/A,Nairobi,N/A,N/A,NAIROBI,P.O. BOX 52452-00200 NAIROBI,Non-Hazardous Industrial Waste,Dumpsite for General Waste
KENYA MEDICAL RESERCH INSTITUTE - NAIROBI,nmwikwabe@kemri.go.ke,LANGATA,Nairobi,"36°48'13.87""E","01°18'53.30""S","KEMRI HQs OFF MBAGATHI WAY, NAIROBI","KEMRI HQs, OFF MBAGATHI WAY, NAIROBI
P.O BOX 54840 - 00200",Biomedical/Industrial Waste,Incinerator
KENYA ELECTRICITY GENERATING COMPANY PLC (KenGen),akitondo@kengen.co.ke,West Pokot,West Pokot,35˚20ʹ30ʺE,1˚55ʹ0ʺN,"Within Turkwel Power Station in Kositai Location, Kasitei Sublocation in West Pokot Subcounty",P.O Box 47936-00100 NAIROBI.,Biomedical/Industrial Waste,Incinerator
THE METAL MERCHANTS LIMITED,johnmanyange981@gmail.com,EMBAKASI,Nairobi,36.8833968,-1.3281458,located alongAirport North Road Nairobi county on plot no 904/115,P.O BOX 36846-00200 NAIROBI,Scrap Metal,Transfer Station/Storage Yard
ENSERVE LTD,ediemurithi@gmail.om,NAIVASHA,Nakuru,36.4298430E,-0.7123740S,LR.NO Naivasha/Municipality Block2/794 along Moi road,po box 701 NAIVASHA,Scrap Metal,Transfer station
SHRI SAI INTERNATIONAL LTD,johnmanyange981@gmail.com,MAKADARA,Nairobi,-,-,situated along Lunga Lunga Road Cereal Board Go-down no 21 plot no 209/4073 Nairobi County,"P.O. BOX 1242-00606
NAIROBI",Scrap Metal,Transfer Station/Storage Yard
GRAIN DROP PRODUCTS LTD,eshubconsult@gmail.com,NJIRU-NAIROBI,Nairobi,36.95142666666666,-1.243735,"LR 42/31 NEW NJIRU TOWN, OFF KANGUNDO ROAD",P.O.BOX 12206-00400 NAIROBI,Used Cooking Oil,Recycling
q,riorop5@gmail.com,RONGAI,Homa Bay,34,0,RONGAI,q,Electrical / Electronic Equipment,Dumpsite for General Waste
SHALEX INVESTMENTS LIMITED,thomaskaranja99@gmail.com,voi,Taita Taveta,north,south,VOI,P.O BOX 120-80300 VOI,Scrap Metal/Plastic Waste,Recycling
VINTZ PLASTICS LIMITED,envirolinkconsult@gmail.com,NAIROBI - EMBAKASI,Nairobi,36.908026,-1.316439,EMBAKASI,"P.O BOX 79329 - 00200
NAIROBI",Plastic Waste,Recycling
KIP PLAST LIMITED,envirolinkconsult@gmail.com,NAIROBI,Nairobi,36.908027,-1.316460,NAIROBI - EMBAKASI,"P.O BOX 79329 - 00200
NAIROBI",Plastic Waste,Recycling
SHAYONAM POLYTHENE,belexaconsultants@gmail.com,RONGAI SUBCOUNTY,Nakuru,35.937726,-0.25289,"SOBEA, RONGAI SUBCOUNTY","P.O. BOX 18913 – 20100, NAKURU, KENYA",Plastic Waste,Transfer Station/Storage Yard
KARPS CONNECTIONS LIMITED,karpsltd@gmail.com,KAHURO,Murang'a,"36° 58' 0.01"" E.","0° 40' 59.99"" N",KAHURO,"P.O BOX 7515-30100
NAIROBI-KENYA",Scrap Metal,Transfer Station/Storage Yard
"KEMRI - CGHR, KISUMU",nmwikwabe@kemri.go.ke,KISUMU EAST (SUB-COUNTY),Kisumu,Longitude 34040’40’’E,Lat. 0004’38’’S,"KISIAN, KISUMU","P.O BOX 4279 - 40103
KISIAN
KISUMU",Biomedical Waste,Incinerator and Waste Transfer Station
KEMRI-WELLCOME TRUST RESEARCH PROGRAMME-CGMR,info@envasses.org,KILIFI,Kilifi,39°51’23.79’’East,3°37’47.00” South,KILIFI TOWN ADJACENT TO THE KILIFI COUNTY HOSPITAL,"P.O. BOX 230-80108, KILIFI",Biomedical Waste,Incinerator
MORICH PLASTICS,mercyk39@gmail.com,Nairobi,Nairobi,1°24,37°50,"Njiru,off Kangundo road",P.O. BOX 17952 – 00500,Plastic Waste,Recycling
KALUWORKS LIMITED,info@envasses.org,MARIAKANI IN KILIFI,Kilifi,39°28’41.04’’East,3°52’13.79’’South,MARIAKANI,P.O. BOX 89128-80100 MOMBASA,Scrap Metal,Recycling
KISAUNI SCRAPE,josephkyalo8836@gmail.com,Kisauni,Mombasa,39.683114,-4.0348229,KISAUNI,"P.O. BOX 98252 - 80100, MOMBASA",Scrap Metal,Transfer station
WINNIEGATS ENTERPRISES,josephkyalo8836@gmail.com,Changamwe,Mombasa,39.3476,-4.6111,MIRITINI,"P.O BOX 332 - 80100, MOMBASA",Scrap Metal,Transfer station
KENSALT lIMITED,muchiridaniel81@gmail.com,Subukia,Nakuru,36.13121,-0.10724,"sOLAI, NAKURU COUNTY","P.O BOX 50315-00200, NAIROBI",Organic Waste,Compost
RUBI PLASTIC INDUSTRIES LIMITED,jossiejoash@gmail.com,MOMBASA,Mombasa,39.6574° E,4.0529° S,"PLOT L.R. NO. XIV/76/77 ALONG LUMUMBA ROAD, JELA BARIDI AREA , MOMBASA COUNTY",P.O. BOX 81072-80100 MOMBASA,Plastic Waste,Recycling
BEAUTYLINE LIMITED,julius@beautyli.com,Gilgil,Nakuru,N/A,N/A,MOI NORTH LAKE RD MARULA PLT NO. 11367/2,P.O BOX 2035-20117 NAIVASHA,Organic Waste,Compost
SAMBURU METAL WORKS,venlicheck.invest@gmail.com,SAMBURU,Kwale,39.265082,-3.795234,"PLOT NO. 5, KIBAONI, SAMBURU","P.O BOX 84892-80100, MOMBASA",Scrap Metal,Transfer station
JACRI SCRAP METAL,shanificonsys@gmail.com,MATHARE,Nairobi,36.877921,-1.258337,Along Cardinal Maurice Otunga Road in Kariobangi Light industry Lr 448,"P.O BOX 205
NAIROBI",Scrap Metal,Transfer Station/Storage Yard
BEAKAMS ENTERPRISES,shanificonsys@gmail.com,MAKADARA,Nairobi,36.8383708,-1.2911927,"The Yard is located along Muthurwa Road,industrial area Nairobi county","P.O BOX 78202-00507
NAIROBI",Plastic Waste,Transfer Station/Storage Yard
STREET WASTE,STREETWASTE@GMAIL.COM,MAKADARA,Nairobi,36.8421264,-1.2958550,CITY STADIUM,"P.O BOX 17004-00510
MAKONGENI",Polythene and Paper Waste,Recycling
TARUA SPINFLUENCE INTERNATIONAL LIMITED,berlconsult2013@gmail.com,MAVOKO,Nairobi,36.9392,-1.3958,"Plot LR. No: 1506 MLOLONGO, MAVOKO SUBCOUNTY",P.O. BOX 10911-00400 NAIROBI,Scrap Metal,Transfer Station/Storage Yard
KARIKI LIMITED,kahugubrianke@gmail.com,THIKA,Kiambu,36.98893,-1.05005,LR. 10079/26,"P.O BOX 6038-01000
THIKA.",Organic Waste,Compost
CARZAN FLOWERS (K) LTD- ST FARM,kahugubrianke@gmail.com,RONGAI,Nakuru,35.859075,-0.198600,LR 10362/2,"P.O BOX 1880-20100
NAKURU",Organic Waste,Compost
KARIKI LIMITED-MOLO,kahugubrianke@gmail.com,MOLO,Nakuru,35.692883,-0.322136,LR 9866,"P.O BOX 955-20106
MOLO",Organic Waste,Compost
KARIKI LIMITED NANYUKI FARM,kahugubrianke@gmail.com,NANYUKI,Laikipia,37.12136,-1.01207,TIMAU BLOCK1/MIARAGE/3,"P.O BOX 1076-10400
NANYUKI.",Organic Waste,Compost
KARIKI LIMITED NAIVASHA FARM,kahugubrianke@gmail.com,"KARATI, NAIVASHA",Nakuru,36.473427,-0.656592,LR. 10423/2,"P.O BOX 791-20117
NIAVASHA",Organic Waste,Compost
DAVID SCRAP METAL,jsawanga@gmail.com,Nyali Sub-County,Mombasa,"39°41'0.89198""E","4°2'25.01049""S",IMN/1423,P.O. BOX 963 - 80100 MOMBASA,Scrap Metal/Plastic Waste,Transfer station
KITENGELA HOT GLASS LIMITED,gomondi85@gmail.com,KAJIADO NORTH,Kajiado,36.817800,-1.392592,272/KAJIADO,"P.O. BOX 349-00502, KAREN",Plastic / Paper & Glass,Recycling
JUNKY BINS COMPANY LIMITED,junkybins@gmail.com,Metropolitan,Nairobi,36.8180° E,"1.2803° S,",NAIROBI,"P. O. BOX 30964 - 00100
NAIROBI",Plastic Waste,Transfer Station/Storage Yard
LINIUM SCRAP DEALERS LIMITED,danamollo@gmail.com,KILIFI,Mombasa,3.5107° S,39.9093° E,MIKINDANI,P.O.BOX 258-80100 MOMBASA,Plastic Waste,Recycling
EAST AFRICAN PAPER MILLS LIMITED,mr@eapm.co.ke,THIKA,Kiambu,1.0485° S,37.1046° E,FACTORY ROAD-OFF GARISA ROAD- THIKA,"PO BOX 1404-00606, NAIROBI",Paper,Recycling
HALAR INDUSTRIES LIMITED,hilplast@gmail.com,"INDUSTRIAL AREA, NAIROBI",Nairobi,36° 52' 59,-01° 18' 18,"L.R NO. 209/8865, Lunga Lunga Road, Industrial Area","P.O. BOX 219-00600
NAIROBI",Plastic Waste,Recycling
ABYSSINIA IRON & STEEL LIMITED - KISUMU,hr.executive1@abyssiniagroup.com,kisumu east,Kisumu,35°07’45.85’’e,0°10’48.62’’s,"Kibos Road Area, Kisumu East Sub County, Kisumu County",1408-00606 SARIT CENTRE,Scrap Metal,Recycling
ENVIRONMENTAL AND COMBUSTION CONSULTANTS LTD,james@ecclkenya.com,KAJIADO,Kajiado,37.000000,-1.583333,"L.R NO. 26604, STONY ATHI-KAPUTEI NORTH-KAJIADO","P.O BOX 72828 - 00200,
NAIROBI - KENYA",Harzadous/Industrial/Biomedical Waste,Incinerator and Waste Transfer Station
QUALICRETE LIMITED,titusmuriuki2015@gmail.com,RUIRU,Kiambu,37.015417029487445,-1.0719892669967508,NAIROBI,"P.O. BOX 61528-00200
NAIROBI",Asbestos,Land fill
RINTZ INDUSTRIES LIMITED,envirolinkconsult@gmail.com,MOMBASA,Mombasa,39.5354037,-3.9302108,Plot No 117354 Off Mombasa-Malindi road Kisauni District in Mombasa County,"P.O BOX 2814 – 80100,
MOMBASA.",Plastic Waste,Recycling
TIMBONI NYALI WASTE PAPER HANDLERS,simiyudouglas91@gmail.com,Nyali Sub-County,Mombasa,39.705759,-4.027597,"PLOT No. MN/I/6521 BOMBOLULU, MOMBASA COUNTY","P.O. BOX 90127-80118
NYALI",Paper,Transfer Station/Storage Yard
TIMBONI NYALI WASTE PAPER HANDLERS,zebahltd@gmail.com,Nyali Sub-County,Mombasa,39.705759,-4.027597,PLOT No. MN/I/6521 BOMBOLULU,"P.O. BOX 90127-80118
NYALI",Paper,Transfer Station/Storage Yard
PANDYA MEMORIAL HOSPITAL,info@envasses.org,MOMBASA,Mombasa,39°40’17.62’’East,4°04’02.37’’South,MOMBASA ISLAND,P.O. BOX 90434-00200 MOMBASA,Biomedical Waste,Incinerator
MWEMA STEEL AND COMPANY LIMITED,gridconsortium@gmail.com,"Nairobi Industrial Area, Nairobi County",Nairobi,36.853521,-1.313899,"Likoni / Enterprise Road Junction, Nairobi Industrial Area, Nairobi County","P.O. Box 13999 Code 00800 Nairobi
Nairobi Industrial Area, Nairobi County",Scrap Metal/Plastic Waste,Recycling
GILOIL COMPANY LIMITED,kmitukim@gmail.com,Nairobi East District,Nairobi,"36°51'22.11""E","1°18'30.79""S,",Likoni road opposite house of Manji in Nairobi Industrial Area,P.O BOX 78011-00507 NAIROBI,Used Cooking Oil,Recycling
KENYATTA NATIONAL HOSPITAL,knhadmin@knh.or.ke,KIBRA,Nairobi,36.8070,1.3013,"KNH-Off Hospital Road, Upperhill, Nairobi",P.O. BOX 20723-00202,Biomedical Waste,Incinerator
DANKA AFRICA (K) LIMITED,info@dankaafrica.com,KILIFI,Kilifi,"39°32'14.6""E","3°55'59.6""S","KOKOTONI, MAZERAS",90783-80100,Used Oil/Sludge,Land fill
Takataka Solutions Limited,n.nyagah@takatakasolutions.com,Kiambu County,Kiambu,-1.1411142,36.7329583,LR NO.151/3 Kiambaa subcounty/ Cianda Ward/ Ehothia,29273- 00625 Nairobi,Plastic Waste,Recycling
Takataka Solutions Limited,n.nyagah@takatakasolutions.com,Kiambu County,Kiambu,-1.1411142,36.7329583,151/3 Kiambaa Subcounty/ Cianda Ward/ Ehothia,29273-00625 Nairobi,Organic Waste,Compost
Takataka Solutions Limited,n.nyagah@takatakasolutions.com,Kiambu County,Kiambu,-1.1411142,36.7329583,LR NO.151/3 Kiambaa subcounty/ Cianda Ward/ Ehothia,29273-00625 Nairobi,Non Hazardous/Non Industrial/Non Toxic & Non Medical Waste,Transfer Station/Storage Yard
Takataka Solutions Limited,norah.takataka@gmail.com,"Lusigeti/Nachu/ Kikuyu, Kiambu County",Kiambu,-1.1411142,36.7329583,LR.1078 Lusigeti/Nachu/Kikuyu,"29273-00625,NAIROBI",Hazardous Waste,Incinerator
Takataka Solutions Limited,n.nyagah@takatakasolutions.com,Lusigeti/Nachu/ Kikuyu,Kiambu,-1.1411142,36.7329583,LR.1078 Lusigeti/Nachu/Kikuyu,29273- 00625 Nairobi,Non Hazardous/Non Industrial/Non Toxic & Non Medical Waste,Transfer Station/Storage Yard
MITUNGUU DECENTRALIZED TREATMENT FACILITY DTF,imethawsl@gmail.com,MITUNGUU,Meru,37.792155'E,0.118542'S,MITUNGUU,P.O BOX 60200-467 MERU,Human Organic Waste,Recycling
RAINFOREST FARMLANDS KENYA LIMITED.,lkimtai@fleurafrica.com,NAIVASHA,Nakuru,36.2376393,0.7615918,NAIVASHA,PO BOX 522 -00606 SARIT CENTER NAIROBI,Organic Waste,Compost
RAMJI HARIBHAI DEVANI LIMITED,nilesh.devani@rhdevani.com,MAKADARA,Nairobi,36.85019,-1.30658,KITUI ROAD - INDUSTRIAL AREA,P.O BOX 18342 - 00500 NAIROBI,Plastic Waste,Recycling
BONRA ENTERPRISES LIMITED,berlconsult2013@gmail.com,RUIRU,Kiambu,"36°58'25.8""E","1°09'29.3""S","LR. NO: 1/6928, GATONGORA, RUIRU, ALONG 3RD SUNRISE AVENUE","P.O. BOX 32059-00600
NAIROBI",Scrap Metal,Transfer Station/Storage Yard
JUMBO STEEL MILLS LIMITED,OLUKOHE2000@YAHOO.COM,RABAI SUB-COUNTY,Kilifi,39.579996,-3.917935,BONI/KISIMANI 209/1181,P.O BOX 99029 - 80107 MOMBASA,Scrap Metal,Recycling
BETA METALS KE LIMITED,mombasa@betametals.com,MOMBASA,Mombasa,39.6915436,-4.0285082,VoK BOMBOLULU,"P.O. BOX 18154 – 00500, NAIROBI",Electrical / Electronic Equipment,Recycling
MOMBASA WASTE PAPER HANDLERS,ZEBAHLTD@GMAIL.COM,Nyali Sub-County,Mombasa,39.705759,-4.027597,PLOT No. MN/I/6521 BOMBOLULU,"P.O. BOX 90127-80118
NYALI",Paper,Transfer Station/Storage Yard
JALI ECOSYSTEMS LIMITED,s.mwenze@dataline.co.ke,MURANG'A,Murang'a,370 07'56.3'E,"010 02'49.8"" S","PLOT L.R NO. 10531 IN KAKUZI/MITUMBIRI WARD, GATANGA SUB COUNTY MURANG’A COUNTY","P.O BOX 46624-00100
NAIROBI",Asbestos,Land fill
KENTAINERS LIMITED,alex_odhiambo@kentainers.co.ke,RUIRU,Kiambu,36.993530415839174,-1.219711973151138,"NORTHLANDS AREA,EASTERN BYPASS,RUIRU","P.O BOX 42168-00100,NAIROBI",Plastic Waste,Recycling
Ndwiga Scrap Metal Dealers and General Hardware,audit9251@gmail.com,Mvita,Mombasa,39.652997,-4.039863,"Plot No. XII/MI/15 at Shimanzi, Mombasa County",P.O Box 42796-80100 Mombasa,Scrap Metal,Transfer station
ALPHARD FABRICATORS LTD,info@alphardfabricators.co.ke,NJIRU,Nairobi,37.00372,-1.28415,RUAI,P.0.BOX 6088-00300 NAIROBI,Scrap Metal/Plastic Waste,Transfer Station/Storage Yard
SUNRISE IMPEX LIMITED,fowiti@yahoo.com,INDUSTRIAL,Nairobi,Longitude: 36.87027,Latitude: -1.30343.,0N RUNYENJES ROAD IN INDUSTRIAL AREA,P.O.BOX 1807-00507 NAIROBI,Plastic Waste,Recycling
SUNRISE IMPEX LIMITED,fowiti@yahoo.com,INDUSTRIAL,Nairobi,Longitude: 36.87027,Latitude: -1.30343.,0N RUNYENJES ROAD IN INDUSTRIAL AREA,P .O. BOX 18071 -00507 NAIROBI,Plastic Waste,Recycling
NJUNU TEA FACTORY COMPANY LIMITED,info@njunu.ktdateas.com,GATANGA,Murang'a,36° 53’E,0°. 47’S,KIGORO,P.O BOX 642-01000 THIKA,Organic Waste,Compost
ALIEMPEX ENTERPRISE,aliempexenterprises@gmail.com,"MAJENGO, MOMBASA COUNTY",Mombasa,"39°39'41""E","-4°3’7""S","ON PLOT L.R NO.923/XVII/MI; MWAMBUNDU ROAD, MAJENGO MOMBASA COUNTY",P.O BOX 88698 - 80100 MOMBASA,Scrap Metal,Transfer station
